type,facility_name,zip
COUNTY JAIL,RUSSELL COUNTY JAIL,36868
COUNTY JAIL,ST. CLAIR COUNTY,35125
COUNTY JAIL,SHELBY COUNTY JAIL,35051
COUNTY JAIL,SUMTER COUNTY JAIL,35470
COUNTY JAIL,TALLEDEGA COUNTY JAIL,35160
COUNTY JAIL,TALLAPOOSA COUNTY JAIL,36853
COUNTY JAIL,TUSCALOOSA COUNTY JAIL,35401
COUNTY JAIL,WALKER COUNTY JAIL,35501
COUNTY JAIL,WASHINGTON COUNTY JAIL,36518
COUNTY JAIL,WILCOX COUNTY JAIL,36726
COUNTY JAIL,WINSTON COUNTY JAIL,35553
CITY JAIL,DAPHNE CITY JAIL,36526
CITY JAIL,FAIRHOPE CITY JAIL,36532
CITY JAIL,FOLEY CITY JAIL,36535
CITY JAIL,ORANGE BEACH CITY JAIL,36561
CITY JAIL,ANNISTON CITY JAIL,36202
CITY JAIL,JACKSONVILLE CITY JAIL,36265
CITY JAIL,OXFORD CITY JAIL,36203
CITY JAIL,PIEDMONT CITY JAIL,36272
CITY JAIL,SHEFFIELD CITY JAIL,35660
CITY JAIL,GOODWATER CITY JAIL,35072
CITY JAIL,OPP CITY JAIL,36467
CITY JAIL,HANCEVILLE CITY JAIL,35077
CITY JAIL,COLLINSVILLE CITY JAIL,35961
CITY JAIL,CROSSVILLE CITY JAIL,35962
CITY JAIL,FORT PAYNE CITY JAIL,35967
CITY JAIL,RAINSVILLE CITY JAIL,35986
CITY JAIL,HENAGAR CITY JAIL,35978
CITY JAIL,TALLASSEE CITY JAIL,36078
CITY JAIL,BREWTON CITY JAIL,36426
CITY JAIL,ATTALLA CITY JAIL,35954
CITY JAIL,RUSSELLVILLE CITY JAIL,35653
CITY JAIL,DOTHAN CITY JAIL,36303
CITY JAIL,SCOTTSBORO CITY JAIL,35768
CITY JAIL,STEVENSON CITY JAIL,35772
CITY JAIL,ADAMSVILLE CITY JAIL,35005
CITY JAIL,BESSEMER CITY JAIL,35020
CITY JAIL,BIRMINGHAM CITY JAIL,35205
CITY JAIL,BRIGHTON CITY JAIL,35020
CITY JAIL,BROOKSIDE CITY JAIL,35036
CITY JAIL,FAIRFIELD CITY JAIL,35064
CITY JAIL,FULTONDALE CITY JAIL,35068
CITY JAIL,GARDENDALE CITY JAIL,35071
CITY JAIL,HOMEWOOD CITY JAIL,35209
CITY JAIL,IRONDALE CITY JAIL,35210
CITY JAIL,KIMBERLY CITY JAIL,35091
CITY JAIL,MIDFIELD CITY JAIL,35228
CITY JAIL,MOUNTAIN BROOK CITY JAIL,35213
CITY JAIL,PLEASANT GROVE CITY JAIL,35127
CITY JAIL,TARRANT CITY JAIL,35217
CITY JAIL,TRUSSVILLE CITY JAIL,35173
CITY JAIL,WARRIOR CITY JAIL,35180
CITY JAIL,HUEYTOWN CITY JAIL,35023
CITY JAIL,HOOVER CITY JAIL,35216
CITY JAIL,OPELIKA CITY JAIL,36803
CITY JAIL,ATHENS CITY JAIL,35611
CITY JAIL,ALBERTVILLE CITY JAIL,35950
CITY JAIL,ARAB CITY JAIL,35016
CITY JAIL,BOAZ CITY JAIL,35957
CITY JAIL,GUNTERSVILLE CITY JAIL,35976
CITY JAIL,CHICKASAW CITY JAIL,36671
CITY JAIL,BAYOU LA BATRE CITY JAIL,36509
CITY JAIL,CITRONELLE CITY JAIL,36522
CITY JAIL,SARALAND CITY JAIL,36571
CITY JAIL,SATSUMA CITY JAIL,36572
CITY JAIL,MT. VERNON CITY JAIL,36560
MUNICIPAL JAIL,MONTGOMERY MUNICIPAL JAIL,36104
CITY JAIL,DECATUR CITY JAIL,35601
CITY JAIL,HARTSELLE CITY JAIL,35640
CITY JAIL,MARION CITY JAIL,36756
CITY JAIL,TROY CITY JAIL,36081
CITY JAIL,ROANOKE CITY JAIL,36274
CITY JAIL,ALABASTER CITY JAIL,35007
CITY JAIL,CHILDERSBURG CITY JAIL,35044
CITY JAIL,SYLACAUGA CITY JAIL,35150
CITY JAIL,TALLADEGA CITY JAIL,35161
CITY JAIL,ALEXANDER CITY JAIL,35010
CITY JAIL,CARBON HILL CITY JAIL,35549
CITY JAIL,SUMITON CITY JAIL,35148
CITY JAIL,HALEYVILLE CITY JAIL,35565
WORK RELEASE,LAUDERDALE COUNTY WORK RELEASE,35630
CITY JAIL,BRISTOL BAY BOROUGH JAIL,99613
CITY JAIL,UNALASKA CITY JAIL,99685
CITY JAIL,DILLINGHAM CITY JAIL,99576
CITY JAIL,HAINES CITY JAIL,99827
CITY JAIL,HOMER CITY JAIL,99603
CITY JAIL,SEWARD CITY JAIL,99664
CITY JAIL,KOTZEBUE CITY JAIL,99752
CITY JAIL,KODIAK CITY JAIL,99615
CITY JAIL,BARROW CITY JAIL,99723
CITY JAIL,CRAIG CITY JAIL,99921
CITY JAIL,SITKA CITY JAIL,99835
CITY JAIL,CORDOVA CITY JAIL,99574
CITY JAIL,VALDEZ CITY JAIL,99686
CITY JAIL,PETERSBURG CITY JAIL,99833
CITY JAIL,WRANGELL CITY JAIL,99929
COUNTY JAIL,APACHE COUNTY JAIL,85936
COUNTY JAIL,COCHISE COUNTY JAIL,85603
COUNTY JAIL,COCONINO COUNTY JAIL,86001
COUNTY JAIL,GILA COUNTY JAIL,85502
COUNTY JAIL,GRAHAM COUNTY JAIL,85546
CORRECTIONAL FACILITY,GREENLEE CO CORRECTIONAL FACILITY,85533
COUNTY JAIL,MARICOPA COUNTY,85003
COUNTY JAIL,MOHAVE COUNTY JAIL,86401
DETENTION CENTER,NAVAJO COUNTY DETENTION CENTER,86025
DETENTION CENTER,PIMA COUNTY ADULT DETENTION CENTER,85713
COUNTY JAIL,PINAL COUNTY JAIL,85232
COUNTY JAIL,SANTA CRUZ COUNTY JAIL,85621
COUNTY JAIL,YAVAPAI COUNTY,86301
DETENTION CENTER,YUMA COUNTY DETENTION CENTER,85364
COUNTY JAIL,LA PAZ COUNTY JAIL,85344
DETENTION CENTER,ARKANSAS COUNTY DETENTION CENTER,72042
COUNTY JAIL,ASHLEY COUNTY JAIL,71646
COUNTY JAIL,BAXTER COUNTY JAIL,72653
DETENTION CENTER,BENTON COUNTY DETENTION FACILITY,72712
LAW ENFORCEMENT CENTER,BOONE COUNTY LAW ENFORCEMENT CENTER,72601
COUNTY JAIL,CALHOUN COUNTY JAIL,71744
COUNTY JAIL,CARROLL COUNTY JAIL,72616
COUNTY JAIL,CLARK COUNTY JAIL,71923
COUNTY JAIL,CLAY COUNTY JAIL,72454
COUNTY JAIL,CLEBURNE COUNTY JAIL,72543
COUNTY JAIL,CLEVELAND COUNTY JAIL,71665
COUNTY JAIL,COLUMBIA COUNTY JAIL,71753
DETENTION CENTER,CONWAY COUNTY DETENTION CENTER,72110
DETENTION CENTER,CRAIGHEAD COUNTY DETENTION CENTER,72401
COUNTY JAIL,CRAWFORD COUNTY JAIL,72956
COUNTY JAIL,CRITTENDEN COUNTY JAIL,72301
CRIMINAL JUSTICE CENTER,CROSS COUNTY CRIMINAL JUSTICE CENTER,72396
COUNTY JAIL,DALLAS COUNTY JAIL,71742
DETENTION CENTER,DREW COUNTY DETENTION FACILITY,71655
DETENTION CENTER,FAULKNER COUNTY DETENTION CENTER,72032
COUNTY JAIL,FRANKLIN COUNTY JAIL,72949
COUNTY JAIL,FULTON COUNTY JAIL,72576
DETENTION CENTER,GARLAND COUNTY CRIMINAL DETENTION FACILITY,71901
DETENTION CENTER,SHERIDAN DETENTION CENTER,72150
COUNTY JAIL,GREENE COUNTY JAIL,72450
COUNTY JAIL,HEMPSTEAD COUNTY JAIL,71801
COUNTY JAIL,HOT SPRING COUNTY JAIL,72104
DETENTION CENTER,HOWARD COUNTY DETENTION FACILITY,71852
COUNTY JAIL,INDEPENDENCE COUNTY JAIL,72501
COUNTY JAIL,IZARD COUNTY JAIL,72556
DETENTION CENTER,JACKSON COUNTY DETENTION CENTER,72112
REGIONAL JAIL,JEFFERSON COUNTY REGIONAL JAIL,71603
COUNTY JAIL,JOHNSON COUNTY JAIL,72830
COUNTY JAIL,LAFAYETTE COUNTY JAIL,71845
COUNTY JAIL,LAWRENCE COUNTY JAIL,72476
COUNTY JAIL,LINCOLN COUNTY JAIL,71667
COUNTY JAIL,LITTLE RIVER COUNTY JAIL,71822
DETENTION CENTER,LOGAN COUNTY DETENTION CENTER,72855
DETENTION CENTER,LONOKE COUNTY DETENTION CENTER,72086
COUNTY JAIL,MADISON COUNTY JAIL,72740
LAW ENFORCEMENT CENTER,MARION COUNTY LAW ENFORCEMENT CENTER,72687
COUNTY JAIL,MILLER COUNTY JAIL,71854
DETENTION CENTER,MISSISSIPPI COUNTY DETENTION CENTER,72358
DETENTION CENTER,MONROE COUNTY DETENTION CENTER,72029
COUNTY JAIL,MONTGOMERY COUNTY JAIL,71957
COUNTY JAIL,NEVADA COUNTY JAIL,71857
COUNTY JAIL,NEWTON COUNTY JAIL,72641
COUNTY JAIL,OUACHITA COUNTY JAIL,71701
COUNTY JAIL,PERRY COUNTY JAIL,72126
COUNTY JAIL,PHILLIPS COUNTY JAIL,72342
COUNTY JAIL,PIKE COUNTY JAIL,71958
DETENTION CENTER,POINSETT COUNTY DETENTION CENTER,72432
COUNTY JAIL,POLK COUNTY JAIL,71953
DETENTION CENTER,POPE COUNTY DETENTION CENTER,72801
COUNTY JAIL,PRAIRIE COUNTY JAIL,72040
REGIONAL JAIL,PULASKI COUNTY REGIONAL JAIL,72204
LAW ENFORCEMENT CENTER,RANDOLPH COUNTY LAW ENFORCEMENT CENTER,72455
COUNTY JAIL,ST. FRANCIS COUNTY JAIL,72335
DETENTION CENTER,SALINE COUNTY DETENTION FACILITY,72015
COUNTY JAIL,SCOTT COUNTY JAIL,72958
COUNTY JAIL,SEARCY COUNTY JAIL,72650
DETENTION CENTER,SEBASTIAN COUNTY ADULT DETENTION CENTER,72901
COUNTY JAIL,SEVIER COUNTY JAIL,71832
DETENTION CENTER,SHARP COUNTY DETENTION CENTER,72513
DETENTION CENTER,STONE COUNTY DETENTION FACILITY,72560
CRIMINAL JUSTICE CENTER,UNION COUNTY CRIMINAL JUSTICE FACILITY,71730
DETENTION CENTER,VAN BUREN COUNTY DETENTION CENTER,72031
DETENTION CENTER,WASHINGTON COUNTY DETENTION CENTER,72701
DETENTION CENTER,WHITE COUNTY DETENTION CENTER,72143
COUNTY JAIL,WOODRUFF COUNTY JAIL,72006
COUNTY JAIL,YELL COUNTY,72833
CITY JAIL,CROSSETT CITY JAIL,71635
CITY JAIL,SILOAM SPRINGS CITY JAIL,72761
CITY JAIL,WARREN CITY JAIL,71671
CITY JAIL,LAKE VILLAGE CITY JAIL,71653
CITY JAIL,DUMAS CITY JAIL,71639
CITY JAIL,MARIANNA CITY JAIL,72360
CITY JAIL,CABOT CITY JAIL,72023
CITY JAIL,OSCEOLA CITY JAIL,72370
CITY JAIL,BRINKLEY CITY JAIL,72021
CITY JAIL,SPRINGDALE CITY JAIL,72764
COUNTY JAIL,ALAMEDA COUNTY,94612
COUNTY JAIL,AMADOR COUNTY JAIL,95642
COUNTY JAIL,BUTTE COUNTY JAIL,95965
COUNTY JAIL,CALAVERAS COUNTY JAIL,95249
COUNTY JAIL,COLUSA COUNTY JAIL,95932
COUNTY JAIL,CONTRA COSTA COUNTY,94553
COUNTY JAIL,DEL NORTE COUNTY JAIL,95531
COUNTY JAIL,EL DORADO COUNTY,95667
COUNTY JAIL,FRESNO COUNTY,93717
COUNTY JAIL,GLENN COUNTY JAIL,95988
COUNTY JAIL,HUMBOLDT COUNTY JAIL,95501
COUNTY JAIL,IMPERIAL COUNTY,92243
COUNTY JAIL,INYO COUNTY JAIL,93526
COUNTY JAIL,KERN COUNTY,93303
COUNTY JAIL,KINGS COUNTY,93230
CORRECTIONAL FACILITY,LAKE COUNTY HILL ROAD CORRECTIONAL FACILITY,95453
COUNTY JAIL,LASSEN COUNTY JAIL,96130
CUSTODY SUPPORT SERVICES,LOS ANGELES COUNTY - CUSTODY SUPPORT SERVS,90012
COUNTY JAIL,MADERA COUNTY JAIL,93638
COUNTY JAIL,MARIN COUNTY JAIL,94903
COUNTY JAIL,MARIPOSA COUNTY JAIL,95338
COUNTY JAIL,MENDOCINO COUNTY JAIL,95482
COUNTY JAIL,MERCED COUNTY,95340
DETENTION CENTER,MODOC COUNTY DETENTION CENTER,96101
COUNTY JAIL,MONO COUNTY JAIL,93517
COUNTY JAIL,MONTEREY COUNTY JAIL,93906
COUNTY JAIL,NAPA COUNTY JAIL,94559
CORRECTIONAL FACILITY,NEVADA COUNTY WAYNE BROWN CORRECTIONAL FACILITY,95959
COUNTY JAIL,ORANGE COUNTY,92702
COUNTY JAIL,PLACER COUNTY,95604
CORRECTIONAL FACILITY,PLUMAS COUNTY SHERIFF CORR CENTER,95971
COUNTY JAIL,RIVERSIDE COUNTY,92502
COUNTY JAIL,SACRAMENTO COUNTY,95814
COUNTY JAIL,SAN BENITO COUNTY JAIL,95024
DETENTION CENTER,SAN BERNARDINO CO WEST VALLEY DET CENTER,92415
COUNTY JAIL,SAN DIEGO COUNTY,92193
COUNTY JAIL,SAN JOAQUIN COUNTY,95231
COUNTY JAIL,SAN LUIS OBISPO COUNTY,93406
COUNTY JAIL,SAN MATEO COUNTY,94063
COUNTY JAIL,SANTA BARBARA COUNTY,93110
COUNTY JAIL,SANTA CLARA COUNTY,95110
WORK CENTER,SANTA CLARA CO MOUNTAIN VIEW WORK FURL CENTER,95131
COUNTY JAIL,SANTA CLARA COUNTY WOMEN'S RESIDENTIAL CENTER,95131
COUNTY JAIL,SANTA CRUZ COUNTY,95060
COUNTY JAIL,SHASTA COUNTY,96001
COUNTY JAIL,SIERRA COUNTY JAIL,95936
COUNTY JAIL,SISKIYOU COUNTY JAIL,96097
COUNTY JAIL,SOLANO COUNTY,94533
COUNTY JAIL,SONOMA COUNTY,95403
COUNTY JAIL,STANISLAUS COUNTY,95358
COUNTY JAIL,SUTTER COUNTY JAIL,95993
COUNTY JAIL,TEHAMA COUNTY JAIL,96080
COUNTY JAIL,TRINITY COUNTY JAIL,96093
COUNTY JAIL,TULARE COUNTY,93291
COUNTY JAIL,TUOLUMNE COUNTY JAIL,95370
COUNTY JAIL,VENTURA COUNTY,93009
WORK CENTER,VENTURA CO WORK FURLOUGH & WORK RELEASE FAC,93010
COUNTY JAIL,YOLO COUNTY,95776
COUNTY JAIL,YUBA COUNTY JAIL,95901
CITY JAIL,GLENDALE CITY JAIL,91206
CITY JAIL,GLENDORA CITY JAIL,91741
CITY JAIL,LONG BEACH CITY JAIL,90802
CITY JAIL,ANAHEIM CITY JAIL,92805
COUNTY JAIL,SAN FRANCISCO CITY & COUNTY,94102
DETENTION CENTER,METRO DETENTION CENTER,90012
COUNTY JAIL,METRO CORRECTIONAL CTR,92101
CITY JAIL,ALHAMBRA CITY JAIL,91801
CITY JAIL,BELL CITY JAIL,90201
CITY JAIL,MONTEBELLO CITY JAIL,90640
DETENTION CENTER,SEAL BEACH DETENTION FACILITY,90740
COUNTY JAIL,SAN DIEGO CO PROBATION DEPT - CAI,92104
DETENTION CENTER,ADAMS COUNTY DETENTION FACILITY,80601
COUNTY JAIL,ARAPAHOE COUNTY JAIL,80112
COUNTY JAIL,ARCHULETA COUNTY JAIL,81147
COUNTY JAIL,BACA COUNTY JAIL,81073
COUNTY JAIL,BENT COUNTY JAIL,81054
COUNTY JAIL,BOULDER COUNTY JAIL,80301
COUNTY JAIL,CHAFFEE COUNTY JAIL,81201
COUNTY JAIL,CHEYENNE COUNTY JAIL,80810
COUNTY JAIL,CLEAR CREEK COUNTY JAIL,80444
COUNTY JAIL,CONEJOS COUNTY JAIL,81129
COUNTY JAIL,COSTILLA COUNTY JAIL,81152
COUNTY JAIL,CROWLEY COUNTY JAIL,81063
COUNTY JAIL,DELTA COUNTY JAIL,81416
COUNTY JAIL,DOUGLAS COUNTY JAIL,80109
CORRECTIONAL FACILITY,EAGLE COUNTY CORRECTIONAL FACILITY,81631
COUNTY JAIL,ELBERT COUNTY JAIL,80117
COUNTY JAIL,EL PASO COUNTY,80906
COUNTY JAIL,FREMONT COUNTY JAIL,81212
COUNTY JAIL,GARFIELD COUNTY JAIL,81601
COUNTY JAIL,GILPIN COUNTY JAIL,80403
COUNTY JAIL,GRAND COUNTY JAIL,80451
COUNTY JAIL,GUNNISON COUNTY JAIL,81230
COUNTY JAIL,HUERFANO COUNTY JAIL,81089
COUNTY JAIL,JACKSON COUNTY JAIL,80480
COUNTY JAIL,JEFFERSON COUNTY,80401
COUNTY JAIL,KIT CARSON COUNTY JAIL,80807
COUNTY JAIL,LAKE COUNTY JAIL,80461
COUNTY JAIL,LA PLATA COUNTY JAIL,81301
DETENTION CENTER,LARIMER COUNTY DETENTION CENTER,80525
COUNTY JAIL,LAS ANIMAS COUNTY JAIL,81082
COUNTY JAIL,LINCOLN COUNTY JAIL,80821
COUNTY JAIL,LOGAN COUNTY JAIL,80751
COUNTY JAIL,MESA COUNTY,81502
DETENTION CENTER,MESA COUNTY DETENTION FACILITY,81502
COUNTY JAIL,MOFFAT COUNTY JAIL,81625
COUNTY JAIL,MONTEZUMA COUNTY JAIL,81321
COUNTY JAIL,MONTROSE COUNTY JAIL,81402
COUNTY JAIL,MORGAN COUNTY DETENTION,80701
COUNTY JAIL,OTERO COUNTY JAIL,81050
COUNTY JAIL,PARK COUNTY JAIL,80440
COUNTY JAIL,PITKIN COUNTY JAIL,81611
COUNTY JAIL,PROWERS COUNTY JAIL,81052
DETENTION CENTER,PUEBLO COUNTY DETENTION CENTER,81003
COUNTY JAIL,RIO BLANCO COUNTY JAIL,81641
COUNTY JAIL,RIO GRANDE COUNTY JAIL,81132
COUNTY JAIL,ROUTT COUNTY JAIL,80477
COUNTY JAIL,SAGUACHE COUNTY JAIL,81149
COUNTY JAIL,SUMMIT COUNTY JAIL,80424
COUNTY JAIL,TELLER COUNTY JAIL,80814
COUNTY JAIL,WASHINGTON COUNTY JAIL,80720
COUNTY JAIL,WELD COUNTY JAIL,80631
COUNTY JAIL,YUMA COUNTY JAIL,80758
COUNTY JAIL,DENVER COUNTY JAIL,80201
TRANSITIONAL FACILITY,COMCOR,80907
CORRECTIONAL FACILITY,D.C. DEPT OF CORRECTIONS,20001
COUNTY JAIL,ALACHUA COUNTY JAIL,32609
COUNTY JAIL,BAKER COUNTY JAIL,32063
COUNTY JAIL,BRADFORD COUNTY JAIL,32091
DETENTION CENTER,BREVARD COUNTY DETENTION CENTER,32927
COUNTY JAIL,BROWARD COUNTY,33301
COUNTY JAIL,CALHOUN COUNTY JAIL,32424
COUNTY JAIL,CHARLOTTE COUNTY JAIL,33982
COUNTY JAIL,CLAY COUNTY JAIL,32043
COUNTY JAIL,COLLIER COUNTY,34112
DETENTION CENTER,COLUMBIA COUNTY DETENTION CENTER,32055
COUNTY JAIL,MIAMI-DADE COUNTY CORRECTIONS AND REHAB.,33147
COUNTY JAIL,DE SOTO COUNTY JAIL,34266
COUNTY JAIL,DIXIE COUNTY JAIL,32628
COUNTY JAIL,ESCAMBIA COUNTY,32522
CORRECTIONAL FACILITY,FLAGLER INMATE FACILITY,32110
COUNTY JAIL,FRANKLIN COUNTY JAIL,32328
COUNTY JAIL,GADSDEN COUNTY JAIL,32353
COUNTY JAIL,GILCHRIST COUNTY JAIL,32693
COUNTY JAIL,GLADES COUNTY JAIL,33471
COUNTY JAIL,GULF COUNTY JAIL,32456
COUNTY JAIL,HAMILTON COUNTY JAIL,32052
COUNTY JAIL,HARDEE COUNTY JAIL,33873
COUNTY JAIL,HENDRY COUNTY JAIL,33935
COUNTY JAIL,HIGHLANDS COUNTY JAIL,33870
COUNTY JAIL,HILLSBOROUGH COUNTY,33619
WORK CENTER,HOLMES COUNTY WORK CAMP,32425
COUNTY JAIL,INDIAN RIVER COUNTY JAIL,32960
CORRECTIONAL FACILITY,JACKSON COUNTY CORRECTIONAL FACILITY,32448
COUNTY JAIL,JEFFERSON COUNTY JAIL,32344
COUNTY JAIL,LAFAYETTE COUNTY JAIL,32066
COUNTY JAIL,LAKE COUNTY JAIL,32778
COUNTY JAIL,LEE COUNTY,33901
DETENTION CENTER,LEON COUNTY DETENTION FACILITY,32302
COUNTY JAIL,LEVY COUNTY JAIL,32621
COUNTY JAIL,LIBERTY COUNTY JAIL,32321
COUNTY JAIL,MADISON COUNTY JAIL,32340
COUNTY JAIL,MANATEE COUNTY,34221
COUNTY JAIL,MARION COUNTY JAIL,34475
COUNTY JAIL,MARTIN COUNTY JAIL,34994
COUNTY JAIL,MONROE COUNTY,33040
DETENTION CENTER,NASSAU COUNTY DETENTION FACILITY,32097
COUNTY JAIL,OKALOOSA COUNTY JAIL,32539
COUNTY JAIL,OKEECHOBEE COUNTY JAIL,34973
COUNTY JAIL,ORANGE COUNTY,32802
COUNTY JAIL,OSCEOLA COUNTY JAIL,34744
COUNTY JAIL,PALM BEACH COUNTY,33416
COUNTY JAIL,PASCO COUNTY,34654
COUNTY JAIL,PINELLAS COUNTY,34649
COUNTY JAIL,POLK COUNTY,33830
COUNTY JAIL,PUTNAM COUNTY JAIL,32178
COUNTY JAIL,ST. JOHNS COUNTY JAIL,32095
COUNTY JAIL,ST LUCIE COUNTY MAIN JAIL,34945
COUNTY JAIL,SANTA ROSA COUNTY JAIL,32572
COUNTY JAIL,SARASOTA COUNTY JAIL,34237
CORRECTIONAL FACILITY,SEMINOLE COUNTY CORRECTIONAL FACILITY,32773
DETENTION CENTER,SUMTER COUNTY DETENTION CENTER,33513
COUNTY JAIL,SUWANEE COUNTY JAIL,32060
COUNTY JAIL,TAYLOR COUNTY JAIL,32347
COUNTY JAIL,UNION COUNTY JAIL,32054
COUNTY JAIL,VOLUSIA COUNTY,32120
COUNTY JAIL,WAKULLA COUNTY JAIL,32327
COUNTY JAIL,WALTON COUNTY JAIL,32433
COUNTY JAIL,WASHINGTON COUNTY JAIL,32428
CITY JAIL,JACKSONVILLE CITY,32202
DETENTION CENTER,FEDERAL DETENTION CENTER,33101
COUNTY JAIL,BAY COUNTY JAIL,32401
DETENTION CENTER,CITRUS COUNTY DETENTION FACILITY,34461
COUNTY JAIL,HERNANDO COUNTY JAIL,34607
COUNTY JAIL,APPLING COUNTY SHERIFF'S DEPT,31513
COUNTY JAIL,ATKINSON COUNTY JAIL,31642
COUNTY JAIL,BACON COUNTY JAIL,31510
COUNTY JAIL,BAKER COUNTY JAIL,31770
COUNTY JAIL,BALDWIN COUNTY JAIL,31061
COUNTY JAIL,BANKS COUNTY JAIL,30547
COUNTY JAIL,BARROW COUNTY JAIL,30680
COUNTY JAIL,BARTOW COUNTY JAIL,30120
COUNTY JAIL,BEN HILL COUNTY JAIL,31750
COUNTY JAIL,BERRIEN COUNTY JAIL,31639
LAW ENFORCEMENT CENTER,BIBB COUNTY LAW ENFORCEMENT CENTER,31201
COUNTY JAIL,BRANTLEY COUNTY JAIL,31553
COUNTY JAIL,BROOKS COUNTY JAIL,31643
COUNTY JAIL,BRYAN COUNTY JAIL,31321
CORRECTIONAL FACILITY,BULLOCH COUNTY CORRECTIONAL INSTITUTION,30458
COUNTY JAIL,BULLOCH COUNTY JAIL,30458
COUNTY JAIL,BURKE COUNTY JAIL,30830
DETENTION CENTER,BUTTS COUNTY DETENTION CENTER,30233
COUNTY JAIL,CALHOUN COUNTY JAIL,31766
COUNTY JAIL,CAMDEN COUNTY PUBLIC SAFETY FACILITY,31569
COUNTY JAIL,CANDLER COUNTY JAIL,30439
CORRECTIONAL FACILITY,CARROLL COUNTY CORRECTIONAL INSTITUTION,30117
COUNTY JAIL,CARROLL COUNTY JAIL,30117
COUNTY JAIL,CATOOSA COUNTY JAIL,30736
DETENTION CENTER,CHATHAM COUNTY ADULT DETENTION CENTER,31412
COUNTY JAIL,CHATTOOGA COUNTY JAIL,30747
COUNTY JAIL,CHEROKEE COUNTY JAIL,30114
COUNTY JAIL,CLAYTON COUNTY JAIL,30236
COUNTY JAIL,CLAYTON COUNTY PRISON,30520
COUNTY JAIL,CLINCH COUNTY JAIL,31634
COUNTY JAIL,COBB CO SHERIFF'S OFFICE JAIL & PRISON UNIT,30008
COUNTY JAIL,COFFEE COUNTY JAIL,31533
CORRECTIONAL FACILITY,COLQUITT COUNTY CORRECTIONAL INSTITUTION,31776
COUNTY JAIL,COLQUITT COUNTY JAIL,31776
DETENTION CENTER,COLUMBIA COUNTY DETENTION CENTER,30802
COUNTY JAIL,COOK COUNTY JAIL,31620
